"filename", "language", "PHP", "SQL", "HTML", "Markdown", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2.js", "JavaScript", 0, 0, 0, 0, 0, 11, 1, 3, 15
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_get_name.js", "JavaScript", 0, 0, 0, 0, 0, 15, 8, 3, 26
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_get_name1.js", "JavaScript", 0, 0, 0, 0, 0, 15, 8, 3, 26
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2_test_results.js", "JavaScript", 0, 0, 0, 0, 0, 18, 4, 2, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/lab2admin_test_results.js", "JavaScript", 0, 0, 0, 0, 0, 18, 4, 2, 24
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/loginANDregister.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 2, 28
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/js/menu.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 4, 39
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/login.html", "HTML", 0, 0, 37, 0, 0, 0, 0, 3, 40
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/loginIndex.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/logout.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/menu.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 1, 57
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/profession_page.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/profile.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 5, 63
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/register.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 3, 41
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/registerIndex.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/meregodz/Documents/ITMOlabs/OPD/OPD_web/resources/font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 3, 0, 4
"Total", "-", 2527, 292, 339, 9, 1855, 2102, 542, 1068, 8734
